Corporation ID,Corp Name,EBRW Below Benchmark,EBRW Approaching Benchmark,EBRW At Benchmark,EBRW Total Tested,EBRW Benchmark %
15,Adams Central Community Schools,29,7,62,98,0.63265306122
25,North Adams Community Schools,41,22,85,148,0.57432432432
35,South Adams Schools,40,7,41,88,0.4659090909
125,MSD Southwest Allen County Schls,121,44,466,631,0.7385103011
225,Northwest Allen County Schools,147,54,443,644,0.68788819875
235,Fort Wayne Community Schools,1076,193,681,1950,0.34923076923
255,East Allen County Schools,330,77,421,828,0.50845410628
365,Bartholomew Con School Corp,333,87,470,890,0.52808988764
370,Flat Rock-Hawcreek School Corp,33,7,34,74,0.45945945945
395,Benton Community School Corp,39,12,61,112,0.54464285714
515,Blackford County Schools,40,15,58,113,0.51327433628
615,Western Boone Co Com Sch Dist,33,13,67,113,0.59292035398
630,Zionsville Community Schools,58,34,481,573,0.83944153577
665,Lebanon Community School Corp,97,25,130,252,0.51587301587
670,Brown County School Corporation,45,8,52,105,0.49523809523
750,Carroll Consolidated School Corp,29,11,42,82,0.51219512195
755,Delphi Community School Corp,26,10,49,85,0.57647058823
775,Pioneer Regional School Corp,27,10,39,76,0.51315789473
815,Lewis Cass Schools ,31,13,45,89,0.50561797752
875,Logansport Community Sch Corp,172,21,110,303,0.36303630363
935,Borden-Henryville School Corporation,31,10,69,110,0.62727272727
945,Silver Creek School Corporation,82,24,116,222,0.52252252252
1000,Clarksville Community School Corp,439,78,226,743,0.30417227456
1010,Greater Clark County Schools,338,71,348,757,0.45970937912
1125,Clay Community Schools,85,20,126,231,0.54545454545
1150,Clinton Central School Corporation,18,7,36,61,0.59016393442
1160,Clinton Prairie School Corporation,28,10,41,79,0.51898734177
1170,Community Schools of Frankfort,153,18,55,226,0.24336283185
1180,Rossville Con School District,16,6,39,61,0.63934426229
1300,Crawford County Community Sch Corp,42,9,36,87,0.41379310344
1315,Barr-Reeve Community Schools Inc,16,5,44,65,0.67692307692
1375,North Daviess Com Schools,19,8,41,68,0.60294117647
1405,Washington Community Schools,88,16,85,189,0.44973544973
1560,Sunman-Dearborn Com Sch Corp,87,27,173,287,0.60278745644
1600,South Dearborn Community Sch Corp,59,13,89,161,0.55279503105
1620,Lawrenceburg Community School Corp,58,18,87,163,0.53374233128
1655,Decatur County Community Schools,49,6,57,112,0.50892857142
1730,Greensburg Community Schools,57,12,85,154,0.55194805194
1805,DeKalb Co Eastern Com Sch Dist,39,13,45,97,0.46391752577
1820,Garrett-Keyser-Butler Com Sch Corp,71,14,63,148,0.42567567567
1835,DeKalb Co Ctl United Sch Dist,75,21,158,254,0.62204724409
1875,Delaware Community School Corp,61,19,92,172,0.53488372093
1885,Wes-Del Community Schools,26,8,25,59,0.42372881355
1895,Liberty-Perry Community Sch Corp,31,10,45,86,0.52325581395
1900,Cowan Community School Corp,15,5,23,43,0.53488372093
1910,Yorktown Community Schools,52,13,132,197,0.67005076142
1940,Daleville Community Schools,22,7,26,55,0.47272727272
1970,Muncie Community Schools,147,21,89,257,0.34630350194
2040,Northeast Dubois Co Sch Corp,18,9,38,65,0.58461538461
2100,Southeast Dubois Co Sch Corp,28,12,68,108,0.62962962962
2110,Southwest Dubois Co Sch Corp,62,5,72,139,0.51798561151
2120,Greater Jasper Consolidated Schs,77,31,157,265,0.59245283018
2155,Fairfield Community Schools,49,12,69,130,0.53076923076
2260,Baugo Community Schools,52,14,73,139,0.52517985611
2270,Concord Community Schools,186,42,208,436,0.47706422018
2275,Middlebury Community Schools,96,44,194,334,0.58083832335
2285,Wa-Nee Community Schools,70,25,110,205,0.53658536585
2305,Elkhart Community Schools,434,56,304,794,0.38287153652
2315,Goshen Community Schools,215,39,182,436,0.41743119266
2395,Fayette County School Corporation,71,28,93,192,0.484375
2400,New Albany-Floyd Co Con Sch,281,75,528,884,0.59728506787
2435,Attica Consolidated School Corp,11,3,18,32,0.5625
2440,Covington Community School Corp,14,9,47,70,0.67142857142
2455,Southeast Fountain School Corp,35,8,26,69,0.3768115942
2475,Franklin County Community Sch Corp,62,14,93,169,0.55029585798
2645,Rochester Community School Corp,38,11,56,105,0.53333333333
2650,Caston School Corporation,23,7,28,58,0.48275862068
2725,East Gibson School Corporation,20,3,25,48,0.52083333333
2735,North Gibson School Corporation,56,11,73,140,0.52142857142
2765,South Gibson School Corporation,42,22,102,166,0.61445783132
2815,Eastbrook Community Sch Corp,46,13,63,122,0.51639344262
2825,Madison-Grant United School Corp,98,23,80,201,0.39800995024
2855,Mississinewa Community School Corp,104,14,85,203,0.41871921182
2865,Marion Community Schools,141,16,82,239,0.3430962343
2920,Bloomfield School District,18,5,35,58,0.60344827586
2940,Eastern Greene Schools,42,12,37,91,0.40659340659
2950,Linton-Stockton School Corporation,39,7,31,77,0.40259740259
2960,MSD Shakamak Schools,15,5,27,47,0.5744680851
2980,White River Valley School District,22,6,21,49,0.42857142857
3005,Hamilton Southeastern Schools,291,130,1281,1702,0.75264394829
3025,Hamilton Heights School Corp,44,14,101,159,0.63522012578
3030,Westfield-Washington Schools,117,51,497,665,0.74736842105
3055,Sheridan Community Schools,24,11,40,75,0.53333333333
3060,Carmel Clay Schools,142,57,1101,1300,0.84692307692
3070,Noblesville Schools,163,51,589,803,0.73349937733
3115,New Palestine Community Schools,78,31,198,307,0.64495114006
3125,Greenfield-Central Com Schools,110,38,172,320,0.5375
3135,Mt Vernon Community School Corp,98,40,235,373,0.63002680965
3145,Eastern Hancock Co Com Sch Corp,36,11,42,89,0.47191011235
3160,Lanesville Community School Corp,16,9,41,66,0.62121212121
3180,North Harrison Com School Corp,50,13,77,140,0.55
3190,South Harrison Com Schools,88,22,116,226,0.51327433628
3295,North West Hendricks Schools,26,14,123,163,0.75460122699
3305,Brownsburg Community School Corp,186,58,534,778,0.68637532133
3315,Avon Community School Corp,202,64,577,843,0.68446026097
3325,Danville Community School Corp,57,24,127,208,0.61057692307
3330,Plainfield Community School Corp,106,37,323,466,0.69313304721
3335,Mill Creek Community Sch Corp,30,19,74,123,0.60162601626
3405,Blue River Valley Schools,13,5,25,43,0.58139534883
3415,South Henry School Corp,28,8,18,54,0.33333333333
3435,Shenandoah School Corporation,33,17,41,91,0.45054945054
3445,New Castle Community School Corp,79,31,108,218,0.49541284403
3455,C A Beard Memorial School Corp,37,8,26,71,0.36619718309
3460,Taylor Community School Corp,45,8,23,76,0.30263157894
3470,Northwestern School Corp,26,12,92,130,0.70769230769
3480,Eastern Howard School Corporation,42,6,63,111,0.56756756756
3490,Western School Corporation,53,17,128,198,0.64646464646
3500,Kokomo School Corporation,154,33,126,313,0.40255591054
3625,Huntington Co Com Sch Corp,97,38,185,320,0.578125
3640,Medora Community School Corp,7,3,1,11,0.0909090909
3675,Seymour Community Schools,214,28,151,393,0.38422391857
3695,Brownstown Cnt Com Sch Corp,54,11,48,113,0.42477876106
3710,Crothersville Community Schools,14,3,8,25,0.32
3785,Kankakee Valley School Corp,92,28,130,250,0.52
3815,Rensselaer Central School Corp,44,12,61,117,0.52136752136
3945,Jay School Corporation,82,19,74,175,0.42285714285
3995,Madison Consolidated Schools,70,18,75,163,0.46012269938
4000,Southwestern-Jefferson Co Con,32,11,35,78,0.44871794871
4015,Jennings County School Corporation,137,32,108,277,0.38989169675
4145,Clark-Pleasant Community Sch Corp,183,56,225,464,0.4849137931
4205,Center Grove Community School Corp,169,49,499,717,0.69595536959
4215,Edinburgh Community School Corp,19,8,27,54,0.5
4225,Franklin Community School Corp,117,29,206,352,0.58522727272
4245,Greenwood Community Sch Corp,87,32,168,287,0.58536585365
4255,Nineveh-Hensley-Jackson United,55,18,79,152,0.5197368421
4315,North Knox School Corp,31,9,33,73,0.45205479452
4325,South Knox School Corp,31,15,54,100,0.54
4335,Vincennes Community School Corp,99,23,72,194,0.37113402061
4345,Wawasee Community School Corp,56,21,101,178,0.56741573033
4415,Warsaw Community Schools,206,64,251,521,0.48176583493
4445,Tippecanoe Valley School Corp,58,14,57,129,0.44186046511
4455,Whitko Community School Corp,42,11,43,96,0.44791666666
4515,Prairie Heights Community Sch Corp,51,11,46,108,0.42592592592
4525,Westview School Corporation,24,8,56,88,0.63636363636
4535,Lakeland School Corporation,51,17,59,127,0.46456692913
4570,NW Indiana Special Education Coop,1,0,0,1,0.0
4580,Hanover Community School Corp,53,20,121,194,0.6237113402
4590,River Forest Community Sch Corp,67,15,37,119,0.31092436974
4600,Merrillville Community School Corp,277,46,163,486,0.3353909465
4615,Lake Central School Corporation,177,64,488,729,0.66941015089
4645,Tri-Creek School Corporation,74,20,155,249,0.62248995983
4650,Lake Ridge New Tech Schools,95,11,35,141,0.24822695035
4660,Crown Point Community School Corp,179,52,467,698,0.66905444126
4670,School City of East Chicago,154,23,62,239,0.25941422594
4680,Lake Station Community Schools,56,9,21,86,0.24418604651
4690,Gary Community School Corp,185,14,37,236,0.15677966101
4700,Griffith Public Schools,60,18,59,137,0.4306569343
4710,School City of Hammond,562,78,201,841,0.23900118906
4720,School Town of Highland,67,22,120,209,0.57416267942
4730,School City of Hobart,104,24,146,274,0.53284671532
4740,School Town of Munster,48,25,287,360,0.79722222222
4760,School City of Whiting,46,14,37,97,0.38144329896
4805,New Prairie United School Corp,72,22,142,236,0.60169491525
4860,MSD of New Durham Township,16,10,30,56,0.53571428571
4915,Tri-Township Cons School Corp,11,3,11,25,0.44
4925,Michigan City Area Schools,202,37,115,354,0.32485875706
4940,South Central Com School Corp,34,5,34,73,0.46575342465
4945,La Porte Community School Corp,173,39,191,403,0.47394540942
5075,North Lawrence Com Schools,140,32,135,307,0.43973941368
5085,Mitchell Community Schools,40,4,52,96,0.54166666666
5245,Frankton-Lapel Community Schools,60,15,144,219,0.65753424657
5255,South Madison Com Sch Corp,108,24,204,336,0.60714285714
5265,Alexandria Community School Corp,42,10,45,97,0.46391752577
5275,Anderson Community School Corp,234,30,106,370,0.28648648648
5280,Elwood Community School Corp,46,6,33,85,0.38823529411
5300,MSD Decatur Township,253,55,158,466,0.33905579399
5310,Franklin Township Com Sch Corp,292,80,421,793,0.53089533417
5330,MSD Lawrence Township,725,112,380,1217,0.31224322103
5340,Perry Township Schools,550,109,494,1153,0.42844752818
5350,MSD Pike Township,319,81,255,655,0.38931297709
5360,MSD Warren Township,553,80,218,851,0.25616921269
5370,MSD Washington Township,352,89,380,821,0.4628501827
5375,MSD Wayne Township,615,103,324,1042,0.31094049904
5380,Beech Grove City Schools,128,16,58,202,0.28712871287
5385,Indianapolis Public Schools,792,84,232,1108,0.20938628158
5390,Southside Sp Srvs Of Marion Co,1,0,2,3,0.66666666666
5400,School Town of Speedway,33,14,73,120,0.60833333333
5455,Culver Community Schools Corp,23,12,22,57,0.38596491228
5470,Argos Community Schools,16,3,19,38,0.5
5480,Bremen Public Schools,37,7,67,111,0.6036036036
5485,Plymouth Community School Corp,85,27,135,247,0.54655870445
5495,Triton School Corporation,27,4,39,70,0.55714285714
5520,Shoals Community School Corp,22,5,14,41,0.34146341463
5525,Loogootee Community Sch Corp,26,8,40,74,0.54054054054
5615,Maconaquah School Corp,46,18,72,136,0.5294117647
5620,North Miami Community Schools,32,7,32,71,0.45070422535
5625,Oak Hill United School Corp,42,14,82,138,0.59420289855
5635,Peru Community Schools,58,9,58,125,0.464
5705,Richland-Bean Blossom C S C,47,18,114,179,0.63687150837
5740,Monroe County Community Sch Corp,181,61,572,814,0.7027027027
5835,North Montgomery Com Sch Corp,48,9,70,127,0.55118110236
5845,South Montgomery Com Sch Corp,46,13,64,123,0.52032520325
5855,Crawfordsville Community Schools,72,19,71,162,0.43827160493
5900,Monroe-Gregg School District,60,12,59,131,0.45038167938
5910,Eminence Community School Corp,9,3,12,24,0.5
5925,MSD Martinsville Schools,164,32,139,335,0.41492537313
5930,Mooresville Con School Corp,144,34,163,341,0.4780058651
5945,North Newton School Corp,37,5,43,85,0.50588235294
5995,South Newton School Corp,21,5,17,43,0.3953488372
6055,Central Noble Com School Corp,39,7,47,93,0.50537634408
6060,East Noble School Corporation,114,20,107,241,0.44398340248
6065,West Noble School Corporation,89,14,71,174,0.40804597701
6080,Rising Sun-Ohio Co Com,19,7,27,53,0.50943396226
6145,Orleans Community Schools,31,4,22,57,0.38596491228
6155,Paoli Community School Corp,36,14,39,89,0.43820224719
6160,Springs Valley Com School Corp,27,8,40,75,0.53333333333
6195,Spencer-Owen Community Schools,50,20,65,135,0.48148148148
6260,Southwest Parke Com Sch Corp,41,10,30,81,0.37037037037
6325,Perry Central Com Schools Corp,39,11,55,105,0.5238095238
6340,Cannelton City Schools,12,3,5,20,0.25
6350,Tell City-Troy Twp School Corp,38,3,65,106,0.61320754716
6375,North Central Parke Comm Schl Corp,43,6,37,86,0.43023255813
6445,Pike County School Corp,63,13,49,125,0.392
6460,MSD Boone Township,46,4,38,88,0.43181818181
6470,Duneland School Corporation,128,50,312,490,0.63673469387
6510,East Porter County School Corp,33,17,140,190,0.73684210526
6520,Porter Township School Corp,42,12,72,126,0.57142857142
6530,Union Township School Corp,23,11,57,91,0.62637362637
6550,Portage Township Schools,224,58,221,503,0.43936381709
6560,Valparaiso Community Schools,114,47,342,503,0.67992047713
6590,MSD Mount Vernon,52,10,59,121,0.48760330578
6600,MSD North Posey Co Schools,31,15,62,108,0.57407407407
6620,Eastern Pulaski Community Sch Corp,27,9,45,81,0.55555555555
6630,West Central School Corp,9,4,33,46,0.71739130434
6705,South Putnam Community Schools,39,11,41,91,0.45054945054
6715,North Putnam Community Schools,37,10,53,100,0.53
6750,Cloverdale Community Schools,33,9,20,62,0.32258064516
6755,Greencastle Community School Corp,45,11,48,104,0.46153846153
6795,Union School Corporation,635,104,311,1050,0.29619047619
6805,Randolph Southern School Corp,20,4,10,34,0.29411764705
6820,Monroe Central School Corp,38,9,27,74,0.36486486486
6825,Randolph Central School Corp,49,14,50,113,0.4424778761
6835,Randolph Eastern School Corp,42,11,28,81,0.34567901234
6865,South Ripley Com Sch Corp,44,7,38,89,0.42696629213
6895,Batesville Community School Corp,42,16,99,157,0.6305732484
6900,Jac-Cen-Del Community Sch Corp,47,6,30,83,0.36144578313
6910,Milan Community Schools,36,7,38,81,0.46913580246
6995,Rush County Schools,68,21,79,168,0.47023809523
7150,John Glenn School Corporation,62,19,86,167,0.51497005988
7175,Penn-Harris-Madison School Corp,209,72,512,793,0.64564943253
7200,School City of Mishawaka,150,37,122,309,0.39482200647
7205,South Bend Community School Corp,568,79,356,1003,0.35493519441
7215,Union-North United School Corp,37,10,48,95,0.50526315789
7230,Scott County School District 1,47,19,37,103,0.35922330097
7255,Scott County School District 2,53,16,93,162,0.57407407407
7285,Shelby Eastern Schools,22,12,50,84,0.59523809523
7350,Northwestern Con School Corp,37,10,63,110,0.57272727272
7360,Southwestern Con Sch Shelby Co,24,2,20,46,0.43478260869
7365,Shelbyville Central Schools,112,24,119,255,0.46666666666
7385,North Spencer County Sch Corp,53,12,116,181,0.6408839779
7445,South Spencer County Sch Corp,24,11,40,75,0.53333333333
7495,Oregon-Davis School Corp,8,1,19,28,0.67857142857
7515,North Judson-San Pierre Sch Corp,34,9,27,70,0.38571428571
7525,Knox Community School Corp,56,16,49,121,0.40495867768
7605,Fremont Community Schools,19,7,42,68,0.61764705882
7610,Hamilton Community Schools,9,3,11,23,0.47826086956
7615,MSD Steuben County,61,24,90,175,0.51428571428
7645,Northeast School Corp,36,7,19,62,0.3064516129
7715,Southwest School Corporation,51,13,51,115,0.44347826086
7775,Switzerland County School Corp,57,13,44,114,0.38596491228
7855,Lafayette School Corporation,208,47,219,474,0.46202531645
7865,Tippecanoe School Corp,281,78,549,908,0.60462555066
7875,West Lafayette Com School Corp,19,4,166,189,0.8783068783
7935,Tri-Central Community Schools,19,12,28,59,0.47457627118
7945,Tipton Community School Corp,32,8,61,101,0.60396039603
7950,Union Co/Clg Corner Joint Sch Dist,36,9,39,84,0.46428571428
7995,Evansville Vanderburgh School Corp,682,141,693,1516,0.45712401055
8010,North Vermillion Com Sch Corp,23,4,12,39,0.30769230769
8020,South Vermillion Com Sch Corp,47,8,52,107,0.48598130841
8030,Vigo County School Corp,329,81,420,830,0.50602409638
8045,Manchester Community Schools,50,13,56,119,0.47058823529
8050,MSD Wabash County Schools,135,36,94,265,0.35471698113
8060,Wabash City Schools,49,11,62,122,0.50819672131
8115,MSD Warren County,30,15,34,79,0.43037974683
8130,Warrick County School Corp,234,63,463,760,0.60921052631
8205,Salem Community Schools,52,12,37,101,0.36633663366
8215,East Washington School Corp,47,13,51,111,0.45945945945
8220,West Washington School Corp,32,3,36,71,0.50704225352
8305,Nettle Creek School Corporation,30,6,57,93,0.6129032258
8355,Western Wayne Schools,25,6,34,65,0.52307692307
8360,Centerville-Abington Com Schs,30,9,75,114,0.65789473684
8375,Northeastern Wayne Schools,46,14,44,104,0.42307692307
8385,Richmond Community Schools,134,28,122,284,0.42957746478
8425,Southern Wells Com Schools,32,2,28,62,0.45161290322
8435,Norwell Community Schools,54,21,100,175,0.57142857142
8445,MSD Bluffton-Harrison,34,15,51,100,0.51
8515,North White School Corp,36,5,18,59,0.30508474576
8525,Frontier School Corporation,17,3,20,40,0.5
8535,Tri-County School Corporation,22,3,34,59,0.57627118644
8565,Twin Lakes School Corp,59,6,72,137,0.52554744525
8625,Smith-Green Community Schools,30,13,53,96,0.55208333333
8635,Purdue Polytechnic High Sch North,26,6,31,63,0.49206349206
8655,Excel Center - Bloomington,2,0,3,5,0.6
8665,Whitley County Con Schools,100,29,158,287,0.55052264808
8690,Dynamic Minds Academy,1,0,2,3,0.66666666666
8940,James and Rosemary Phalen Leadership Academy High School,91,9,11,111,0.09909909909
8960,Purdue Polytechnic High School South Bend,22,5,18,45,0.4
8970,GEO Next Generation Academy,30,2,8,40,0.2
9000,Phalen Virtual Leadership Academy,18,4,7,29,0.24137931034
9015,Purdue Polytechnic High School Ind,55,4,48,107,0.44859813084
9035,Indiana Connections Career Academy,72,20,77,169,0.45562130177
9050,Excel Center - Clarksville,28,1,4,33,0.12121212121
9100,Indiana Department of Correction,20,2,6,28,0.21428571428
9120,Hoosier College and Career Academy,151,31,73,255,0.2862745098
9135,KIPP Indy Legacy High,50,7,7,64,0.109375
9140,BELIEVE Circle City High School,37,6,22,65,0.33846153846
9145,Herron-Riverside High School,33,9,46,88,0.52272727272
9160,Excel Center - Muncie,9,0,0,9,0.0
9170,Rooted School Indianapolis,13,0,1,14,0.07142857142
9200,Archdiocese of Indianapolis,205,96,836,1137,0.73526824978
9205,Diocese of Gary,65,30,213,308,0.69155844155
9210,Diocese of Lafayette Catholic Sch,11,16,235,262,0.89694656488
9215,Diocese of Evansville,58,27,228,313,0.72843450479
9220,Diocese of Fort Wayne - South Bend,123,59,503,685,0.73430656934
9230,Lutheran Schools of Indiana,37,25,181,243,0.74485596707
9305,Excel Center - Richmond,7,1,4,12,0.33333333333
9315,Signature School Inc,2,1,99,102,0.97058823529
9320,Community Montessori Inc,5,1,25,31,0.8064516129
9325,Options Charter Schools,109,27,55,191,0.28795811518
9330,Irvington Community School,37,14,31,82,0.37804878048
9345,Excel Center - Lafayette,34,1,10,45,0.22222222222
9355,Excel Center - Kokomo,41,3,9,53,0.16981132075
9380,Christel House Academy South,44,20,36,100,0.36
9385,Christel House DORS,15,1,1,17,0.05882352941
9445,Charles A Tindley Accelerated Sch,30,1,4,35,0.11428571428
9460,Thea Bowman Leadership Academy,40,7,13,60,0.21666666666
9505,Indiana Agriculture and Technology,69,8,35,112,0.3125
9535,Gary Lighthouse Charter School,61,1,14,76,0.18421052631
9545,21st Century Charter Sch of Gary,62,6,24,92,0.26086956521
9575,Victory College Prep,37,6,12,55,0.21818181818
9605,IN Sch for the Blind & Vis Imprd,1,0,1,2,0.5
9610,Indiana School For The Deaf,9,0,3,12,0.25
9620,Burris Laboratory School,7,2,40,49,0.81632653061
9625,Indiana Academy for Sci Math Hmn ,6,3,92,101,0.9108910891
9650,Herron Charter,44,10,197,251,0.78486055776
9651,"The Hope Academy, Inc.",6,2,9,17,0.5294117647
9670,Indianapolis Metropolitan High Sch,51,0,7,58,0.12068965517
9705,Hammond Academy of Science & Tech,19,8,42,69,0.60869565217
9730,Neighbors' New Vistas High School,18,4,9,31,0.29032258064
9750,Excel Center - Anderson,13,0,1,14,0.07142857142
9760,Smith Academy for Excellence,6,1,2,9,0.22222222222
9790,Anderson Preparatory Academy,48,6,15,69,0.21739130434
9840,Excel Center - University Heights,1,1,0,2,0.0
9855,Excel Center - Noblesville,1,0,1,2,0.5
9875,Rock Creek Community Academy,16,5,18,39,0.46153846153
9880,Career Academy High School,59,11,40,110,0.36363636363
9885,Gary Middle College,23,0,2,25,0.08
9895,IN Math & Science Academy - North,24,4,18,46,0.39130434782
9905,Indiana Connections Academy,328,104,393,825,0.47636363636
9910,Excel Center for Adult Learners,8,1,2,11,0.18181818181
9920,Damar Charter Academy,4,0,0,4,0.0
9950,Dugger Union Community School Corp,33,4,7,44,0.15909090909
9980,Steel City Academy,10,1,6,17,0.35294117647
9985,Seven Oaks Classical School,1,2,16,19,0.84210526315
9995,Excel Center - Shelbyville,18,1,2,21,0.09523809523
