Cluster,A,A,B,B,B,B,B,B,B,C,C,C,D,D,D,D,D,D,D,D,D,D,E,F,F,F,F,F,F,F,F,G,G,G,G,G
sub_cluster,0,1,0,1,2,3,4,5,6,0,1,2,0,1,2,3,4,5,6,7,8,9,0,0,1,2,3,4,5,6,7,0,1,2,3,4
Corporation ID,66.33986928104575,99.6732026143791,47.05882352941177,42.15686274509804,41.50326797385621,56.5359477124183,43.790849673202615,51.30718954248366,65.68627450980392,37.254901960784316,85.94771241830065,34.64052287581699,39.54248366013072,51.30718954248366,49.01960784313726,58.82352941176471,63.72549019607843,50.65359477124183,7.189542483660131,22.875816993464053,51.30718954248366,35.294117647058826,93.79084967320262,46.40522875816993,58.82352941176471,37.254901960784316,34.64052287581699,42.15686274509804,50.65359477124183,43.13725490196079,51.30718954248366,46.07843137254902,36.9281045751634,56.5359477124183,43.790849673202615,98.03921568627452
Non-GCE Promote %,91.17647058823529,0.6535947712418301,50.65359477124183,77.12418300653594,51.63398692810458,11.764705882352942,78.10457516339869,75.16339869281046,33.98692810457516,32.6797385620915,91.17647058823529,62.091503267973856,43.790849673202615,61.111111111111114,62.091503267973856,72.22222222222223,81.04575163398692,68.62745098039215,7.189542483660131,79.08496732026144,56.86274509803922,69.93464052287582,98.03921568627452,30.718954248366014,18.30065359477124,16.99346405228758,26.143790849673202,32.6797385620915,47.712418300653596,60.7843137254902,55.22875816993464,99.6732026143791,83.00653594771242,90.52287581699346,73.8562091503268,75.16339869281046
ELL %,73.20261437908496,20.58823529411765,60.45751633986928,87.58169934640523,92.15686274509804,96.40522875816994,78.10457516339869,73.52941176470588,82.6797385620915,73.8562091503268,74.18300653594771,90.84967320261438,67.97385620915033,32.35294117647059,41.1764705882353,28.104575163398692,44.77124183006536,72.22222222222223,37.254901960784316,44.77124183006536,29.73856209150327,33.333333333333336,78.75816993464052,51.96078431372549,34.64052287581699,72.87581699346406,38.56209150326797,64.70588235294117,39.54248366013072,98.69281045751634,61.76470588235294,93.4640522875817,91.50326797385621,92.15686274509804,96.40522875816994,100.0
Special Education %,95.42483660130719,100.0,27.77777777777778,88.88888888888889,19.934640522875817,8.823529411764707,20.915032679738562,50.98039215686275,70.58823529411765,19.281045751633986,54.248366013071895,36.60130718954248,89.86928104575163,57.84313725490196,74.50980392156863,76.47058823529412,96.07843137254902,58.49673202614379,76.47058823529412,66.01307189542484,67.97385620915033,58.49673202614379,3.9215686274509807,67.3202614379085,37.908496732026144,50.98039215686275,41.830065359477125,37.254901960784316,43.4640522875817,13.071895424836601,94.44444444444444,57.189542483660134,35.62091503267974,21.568627450980394,17.647058823529413,0.9803921568627452
FRPM_%,82.6797385620915,99.83660130718954,59.150326797385624,72.54901960784314,59.150326797385624,62.41830065359477,75.16339869281046,21.568627450980394,51.63398692810458,10.457516339869281,61.111111111111114,57.84313725490196,76.79738562091504,61.76470588235294,66.01307189542484,67.6470588235294,16.666666666666668,64.37908496732027,51.63398692810458,23.202614379084967,44.44444444444444,85.29411764705883,97.05882352941177,28.104575163398692,25.81699346405229,15.686274509803923,11.764705882352942,21.568627450980394,34.96732026143791,19.934640522875817,78.43137254901961,95.09803921568627,82.3529411764706,94.44444444444444,90.52287581699346,98.36601307189542
Pct American Indian,52.61437908496732,10.620915032679738,24.18300653594771,36.9281045751634,21.895424836601308,61.111111111111114,51.96078431372549,51.30718954248366,65.68627450980392,65.68627450980392,52.287581699346404,61.111111111111114,50.0,50.65359477124183,82.02614379084967,74.83660130718954,39.21568627450981,73.20261437908496,92.81045751633987,97.38562091503267,85.94771241830065,10.620915032679738,26.143790849673202,62.091503267973856,26.143790849673202,78.10457516339869,37.254901960784316,47.712418300653596,44.11764705882353,10.620915032679738,10.620915032679738,22.54901960784314,49.673202614379086,63.071895424836605,33.00653594771242,10.620915032679738
Pct Asian,79.08496732026144,4.411764705882353,43.790849673202615,55.88235294117647,62.74509803921569,94.44444444444444,17.320261437908496,80.71895424836602,81.37254901960785,96.07843137254902,77.45098039215686,98.03921568627452,50.65359477124183,59.80392156862745,50.326797385620914,17.647058823529413,84.9673202614379,37.58169934640523,37.58169934640523,34.31372549019608,31.045751633986928,4.411764705882353,16.33986928104575,49.01960784313726,53.59477124183007,69.93464052287582,58.169934640522875,88.23529411764706,34.96732026143791,30.3921568627451,65.0326797385621,10.130718954248366,91.83006535947713,54.90196078431373,71.24183006535948,4.411764705882353
Pct Black,88.88888888888889,91.50326797385621,91.17647058823529,65.68627450980392,34.64052287581699,93.13725490196079,46.73202614379085,81.69934640522877,66.01307189542484,78.43137254901961,87.58169934640523,79.41176470588235,56.5359477124183,35.947712418300654,59.47712418300654,22.875816993464053,69.28104575163398,31.372549019607845,23.856209150326798,82.6797385620915,38.23529411764706,1.6339869281045751,98.69281045751634,50.326797385620914,50.98039215686275,66.01307189542484,35.62091503267974,75.49019607843137,39.869281045751634,17.973856209150327,14.052287581699346,96.40522875816994,96.73202614379085,93.4640522875817,70.91503267973856,98.69281045751634
Pct Hispanic,75.49019607843137,49.01960784313726,92.81045751633987,88.23529411764706,93.4640522875817,86.9281045751634,78.43137254901961,91.50326797385621,83.66013071895425,72.54901960784314,59.80392156862745,75.16339869281046,57.189542483660134,27.124183006535947,55.55555555555556,21.241830065359476,31.372549019607845,69.6078431372549,36.27450980392157,55.88235294117647,19.934640522875817,27.450980392156865,73.20261437908496,62.091503267973856,33.00653594771242,75.16339869281046,32.35294117647059,61.43790849673203,40.84967320261438,22.22222222222222,43.790849673202615,98.36601307189542,88.23529411764706,93.4640522875817,98.36601307189542,91.50326797385621
Pct Multiracial,96.73202614379085,91.17647058823529,68.95424836601308,30.718954248366014,28.758169934640524,81.04575163398692,24.18300653594771,60.130718954248366,79.41176470588235,79.41176470588235,95.42483660130719,82.6797385620915,39.21568627450981,44.11764705882353,78.10457516339869,22.22222222222222,93.4640522875817,38.23529411764706,58.82352941176471,73.20261437908496,21.568627450980394,63.071895424836605,16.666666666666668,49.34640522875817,53.59477124183007,39.21568627450981,29.73856209150327,80.71895424836602,43.790849673202615,4.248366013071895,30.065359477124183,22.875816993464053,86.60130718954248,86.60130718954248,47.38562091503268,3.2679738562091503
Pct Pacific Islander,73.8562091503268,22.38562091503268,56.209150326797385,64.05228758169935,69.93464052287582,60.130718954248366,22.38562091503268,47.38562091503268,60.45751633986928,66.33986928104575,100.0,71.24183006535948,79.41176470588235,49.01960784313726,47.38562091503268,46.40522875816993,98.03921568627452,83.98692810457517,99.01960784313725,56.86274509803922,51.96078431372549,22.38562091503268,44.77124183006536,59.150326797385624,94.77124183006536,60.45751633986928,53.26797385620915,51.96078431372549,53.92156862745098,78.10457516339869,87.58169934640523,77.12418300653594,66.99346405228758,57.189542483660134,50.98039215686275,22.38562091503268
Pct White,16.666666666666668,20.26143790849673,11.11111111111111,26.47058823529412,21.241830065359476,9.803921568627452,36.60130718954248,16.666666666666668,27.77777777777778,24.18300653594771,22.875816993464053,16.99346405228758,51.96078431372549,72.87581699346406,45.42483660130719,84.640522875817,36.60130718954248,46.40522875816993,61.111111111111114,32.6797385620915,82.02614379084967,73.8562091503268,1.6339869281045751,48.69281045751634,65.359477124183,36.27450980392157,73.20261437908496,34.31372549019608,67.97385620915033,91.83006535947713,69.6078431372549,1.6339869281045751,5.228758169934641,6.209150326797386,9.15032679738562,1.9607843137254903
Chronically Absent Percent,93.13725490196079,90.84967320261438,23.856209150326798,73.20261437908496,31.045751633986928,12.745098039215687,18.30065359477124,55.55555555555556,54.248366013071895,11.764705882352942,45.751633986928105,57.84313725490196,76.47058823529412,74.83660130718954,56.209150326797385,70.58823529411765,56.209150326797385,69.6078431372549,52.94117647058824,49.673202614379086,44.77124183006536,91.50326797385621,98.69281045751634,60.7843137254902,32.6797385620915,11.11111111111111,9.477124183006536,27.77777777777778,34.31372549019608,12.418300653594772,50.65359477124183,97.7124183006536,69.93464052287582,89.54248366013071,75.49019607843137,93.79084967320262
AVG_ATT_RATE,5.882352941176471,3.2679738562091503,63.72549019607843,49.34640522875817,96.73202614379085,99.01960784313725,88.23529411764706,50.326797385620914,92.15686274509804,83.66013071895425,13.071895424836601,39.869281045751634,15.032679738562091,22.54901960784314,41.50326797385621,28.43137254901961,35.947712418300654,56.86274509803922,47.38562091503268,18.30065359477124,66.66666666666667,15.359477124183007,1.9607843137254903,43.4640522875817,78.75816993464052,90.52287581699346,80.06535947712419,69.6078431372549,56.86274509803922,77.45098039215686,60.130718954248366,6.209150326797386,34.31372549019608,12.418300653594772,28.104575163398692,81.69934640522877
Total Enrollment,81.04575163398692,0.9803921568627452,58.169934640522875,55.22875816993464,62.41830065359477,52.94117647058824,51.63398692810458,83.00653594771242,83.00653594771242,91.17647058823529,99.34640522875817,94.44444444444444,72.54901960784314,51.30718954248366,49.01960784313726,18.30065359477124,31.372549019607845,50.0,36.60130718954248,57.51633986928105,30.3921568627451,1.3071895424836601,45.751633986928105,72.22222222222223,56.209150326797385,60.130718954248366,51.63398692810458,74.50980392156863,40.52287581699346,56.86274509803922,7.189542483660131,71.56862745098039,97.05882352941177,89.86928104575163,70.91503267973856,5.228758169934641
% Tested ELA,23.202614379084967,0.32679738562091504,25.81699346405229,27.450980392156865,51.96078431372549,23.202614379084967,72.87581699346406,71.89542483660131,15.686274509803923,72.22222222222223,59.47712418300654,62.74509803921569,69.6078431372549,41.830065359477125,8.169934640522875,60.7843137254902,13.398692810457517,41.830065359477125,72.87581699346406,92.48366013071896,25.490196078431374,0.9803921568627452,40.19607843137255,54.57516339869281,71.24183006535948,52.287581699346404,66.01307189542484,80.71895424836602,80.06535947712419,97.7124183006536,100.0,29.73856209150327,33.333333333333336,28.104575163398692,41.50326797385621,99.6732026143791
% Tested Math,23.202614379084967,0.32679738562091504,25.490196078431374,27.124183006535947,51.63398692810458,22.875816993464053,73.20261437908496,70.58823529411765,16.013071895424837,71.89542483660131,59.150326797385624,62.41830065359477,69.28104575163398,41.1764705882353,8.169934640522875,61.111111111111114,13.398692810457517,42.810457516339866,73.20261437908496,92.48366013071896,25.490196078431374,0.9803921568627452,44.11764705882353,55.55555555555556,71.24183006535948,53.26797385620915,66.01307189542484,80.3921568627451,80.71895424836602,97.7124183006536,100.0,29.084967320261438,33.00653594771242,27.124183006535947,39.869281045751634,99.6732026143791
Corp Per/Student,33.00653594771242,99.01960784313725,25.163398692810457,73.20261437908496,9.477124183006536,86.60130718954248,43.790849673202615,50.326797385620914,22.54901960784314,27.450980392156865,59.47712418300654,50.65359477124183,45.751633986928105,61.43790849673203,64.05228758169935,68.62745098039215,26.143790849673202,79.73856209150327,17.320261437908496,66.33986928104575,71.24183006535948,98.69281045751634,96.40522875816994,65.68627450980392,25.81699346405229,56.86274509803922,31.045751633986928,13.071895424836601,48.36601307189542,81.04575163398692,94.77124183006536,96.40522875816994,81.04575163398692,90.52287581699346,55.55555555555556,72.87581699346406
ELA Proficient %,9.803921568627452,0.32679738562091504,33.98692810457516,23.202614379084967,55.88235294117647,91.83006535947713,35.62091503267974,57.51633986928105,50.0,93.79084967320262,42.48366013071895,66.99346405228758,29.411764705882355,48.03921568627451,41.50326797385621,22.54901960784314,35.62091503267974,34.31372549019608,26.797385620915033,11.11111111111111,50.0,30.22875816993464,3.2679738562091503,88.88888888888889,50.0,90.52287581699346,86.60130718954248,81.04575163398692,61.76470588235294,89.54248366013071,13.725490196078432,3.2679738562091503,20.26143790849673,10.130718954248366,13.398692810457517,83.66013071895425
Math Proficient %,9.477124183006536,0.6535947712418301,45.09803921568628,27.77777777777778,68.62745098039215,88.23529411764706,34.64052287581699,55.88235294117647,57.84313725490196,90.84967320261438,41.830065359477125,59.150326797385624,38.23529411764706,51.63398692810458,42.15686274509804,20.26143790849673,14.379084967320262,36.9281045751634,43.13725490196079,5.228758169934641,46.73202614379085,34.31372549019608,2.287581699346405,87.58169934640523,50.326797385620914,90.52287581699346,87.58169934640523,77.77777777777779,63.071895424836605,95.42483660130719,18.627450980392158,3.9215686274509807,17.320261437908496,11.11111111111111,17.647058823529413,85.62091503267973
